Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,on File,3/18/2021,Retail Crypto‐Backed Loan,,,,Y,"$66,878.12",101
Name on File,Address on File,on File,12/15/2020,Retail Crypto‐Backed Loan,,,,Y,"$32,821.12",101
Name on File,Address on File,on File,2/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$24,229.59",101
Name on File,Address on File,on File,11/6/2020,Retail Crypto‐Backed Loan,,,,Y,"$21,263.61",101
Name on File,Address on File,on File,3/6/2019,Retail Crypto‐Backed Loan,,,,Y,"$18,802.57",101
Name on File,Address on File,on File,12/2/2021,Retail Crypto‐Backed Loan,,,,Y,"$1,758.33",101
Name on File,Address on File,on File,4/27/2021,Retail Crypto‐Backed Loan,,,,Y,"$49,304.22",101
Name on File,Address on File,on File,5/1/2021,Retail Crypto‐Backed Loan,,,,Y,"$16,692.49",101
Name on File,Address on File,on File,9/20/2019,BPC Open and/or Term Loan,,,,,"$51,684.41",101
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$68.17,101
Name on File,Address on File,on File,2/11/2020,Retail Crypto‐Backed Loan,,,,Y,"$3,650.97",101
Name on File,Address on File,on File,2/15/2021,Retail Crypto‐Backed Loan,,,,Y,"$57,999.90",101
Name on File,Address on File,on File,2/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$38,408.93",101
Name on File,Address on File,on File,6/21/2021,Retail Crypto‐Backed Loan,,,,Y,"$1,502.62",101
Name on File,Address on File,on File,11/23/2020,BPC Open and/or Term Loan,,,,,$644.80,101
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$56.47,101
Name on File,Address on File,on File,1/29/2020,Retail Crypto‐Backed Loan,,,,Y,$733.05,101
Name on File,Address on File,on File,2/25/2021,BPC Open and/or Term Loan,,,,,$1.35,101
Name on File,Address on File,on File,2/25/2021,Retail Crypto‐Backed Loan,,,,Y,"$322,505.37",101
Name on File,Address on File,on File,1/10/2021,Retail Crypto‐Backed Loan,,,,Y,"$8,785.88",101
Name on File,Address on File,on File,2/25/2021,Retail Crypto‐Backed Loan,,,,Y,"$3,018.32",101
Name on File,Address on File,on File,1/14/2021,Retail Crypto‐Backed Loan,,,,Y,"$96,770.98",101
Name on File,Address on File,on File,12/11/2020,BPC Open and/or Term Loan,,,,,$43.10,101
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$201.10,101
Name on File,Address on File,on File,5/25/2019,BPC Open and/or Term Loan,,,,,"$237,261.45",101
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$1.82,101
Name on File,Address on File,on File,12/20/2021,Retail Crypto‐Backed Loan,,,,Y,"$57,046.18",101
Name on File,Address on File,on File,8/29/2020,Retail Crypto‐Backed Loan,,,,Y,"$37,494.01",101
Name on File,Address on File,on File,1/8/2021,Retail Crypto‐Backed Loan,,,,Y,"$11,506.47",101
Name on File,Address on File,on File,2/13/2020,BPC Open and/or Term Loan,,,,,"$5,362,045.57",101
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$105.09,101
Name on File,Address on File,on File,1/27/2021,Retail Crypto‐Backed Loan,,,,Y,"$14,589.83",101
Name on File,Address on File,on File,1/15/2021,Retail Crypto‐Backed Loan,,,,Y,"$16,311.91",101
Name on File,Address on File,on File,3/27/2021,Retail Crypto‐Backed Loan,,,,Y,"$35,977.99",101
Name on File,Address on File,on File,2/9/2021,Retail Crypto‐Backed Loan,,,,Y,"$17,372.64",101
Name on File,Address on File,on File,1/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$126,282.88",101
Name on File,Address on File,on File,4/11/2021,Retail Crypto‐Backed Loan,,,,Y,"$56,989.59",101
Name on File,Address on File,on File,4/23/2019,Retail Crypto‐Backed Loan,,,,Y,"$82,652.13",101
Name on File,Address on File,on File,2/14/2021,Retail Crypto‐Backed Loan,,,,Y,"$128,168.41",101
Name on File,Address on File,on File,6/6/2021,BPC Open and/or Term Loan,,,,,$2.46,101
Name on File,Address on File,on File,6/6/2021,Retail Crypto‐Backed Loan,,,,Y,"$3,429,606.69",101
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.01,101
Name on File,Address on File,on File,3/25/2020,Retail Crypto‐Backed Loan,,,,Y,"$17,826.93",101
Name on File,Address on File,on File,5/9/2021,Retail Crypto‐Backed Loan,,,,Y,"$13,084.61",101
Name on File,Address on File,on File,12/11/2020,Retail Crypto‐Backed Loan,,,,Y,"$33,871.17",101
Name on File,Address on File,on File,3/14/2021,Retail Crypto‐Backed Loan,,,,Y,"$27,986.48",101
Name on File,Address on File,on File,1/20/2021,Retail Crypto‐Backed Loan,,,,Y,"$45,071.34",101
Name on File,Address on File,on File,10/31/2020,Retail Crypto‐Backed Loan,,,,Y,"$24,762.59",101
Name on File,Address on File,on File,6/10/2021,Retail Crypto‐Backed Loan,,,,Y,"$61,399.73",101
Name on File,Address on File,on File,1/25/2021,Retail Crypto‐Backed Loan,,,,Y,"$1,351.35",101
Name on File,Address on File,on File,2/25/2020,BPC Open and/or Term Loan,,,,,$0.01,101
Name on File,Address on File,on File,6/18/2020,BPC Open and/or Term Loan,,,,,$0.04,101
Name on File,Address on File,on File,2/24/2021,Retail Crypto‐Backed Loan,,,,Y,"$40,565.08",101
Name on File,Address on File,on File,12/1/2020,BPC Open and/or Term Loan,,,,,$8.96,101
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.04,101
Name on File,Address on File,on File,1/6/2020,BPC Open and/or Term Loan,,,,,$34.32,101
Name on File,Address on File,on File,1/6/2020,Retail Crypto‐Backed Loan,,,,Y,"$30,169.86",101
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.16,101
Name on File,Address on File,on File,8/22/2018,Retail Crypto‐Backed Loan,,,,Y,"$1,422.29",101
Name on File,Address on File,on File,3/14/2021,Retail Crypto‐Backed Loan,,,,Y,"$4,597.13",102
Name on File,Address on File,on File,1/20/2021,Retail Crypto‐Backed Loan,,,,Y,"$13,301.55",102
Name on File,Address on File,on File,2/15/2021,Retail Crypto‐Backed Loan,,,,Y,"$83,786.57",102
Name on File,Address on File,on File,1/18/2021,Retail Crypto‐Backed Loan,,,,Y,"$28,523.09",102
Name on File,Address on File,on File,5/10/2020,BPC Open and/or Term Loan,,,,,"$757,676.81",102
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$1,752.51",102
Name on File,Address on File,on File,6/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$43,643.10",102
Name on File,Address on File,on File,7/28/2021,Retail Crypto‐Backed Loan,,,,Y,"$2,001.46",102
Name on File,Address on File,on File,2/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$13,382.58",102
Name on File,Address on File,on File,10/20/2019,Retail Crypto‐Backed Loan,,,,Y,"$10,228.21",102
Name on File,Address on File,on File,7/14/2020,Retail Crypto‐Backed Loan,,,,Y,"$174,979.58",102
Name on File,Address on File,on File,7/2/2021,Retail Crypto‐Backed Loan,,,,Y,$784.77,102
Name on File,Address on File,on File,12/17/2020,Retail Crypto‐Backed Loan,,,,Y,"$3,624.52",102
Name on File,Address on File,on File,8/2/2019,BPC Open and/or Term Loan,,,,,"$3,413.81",102
Name on File,Address on File,on File,8/2/2019,Retail Crypto‐Backed Loan,,,,Y,"$4,164,579.20",102
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$18.95,102
Name on File,Address on File,on File,9/30/2021,BPC Open and/or Term Loan,,,,,"$864,341.42",102
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$3,249.33",102
Name on File,Address on File,on File,10/30/2020,Retail Crypto‐Backed Loan,,,,Y,"$26,902.46",102
Name on File,Address on File,on File,3/4/2021,Retail Crypto‐Backed Loan,,,,Y,"$14,909.80",102
