Creditor Name,Reasons for payment or transfer,Dates of Payments,Total,Address,Page Number
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/23/2022,$4.34,Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/23/2022,"$20,007.30",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/23/2022,"$20,000.01",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/23/2022,"$240,008.27",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$20,119.32",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$272,009.83",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$20,117.30",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$20,159.22",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/14/2022,"$3,022.80",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/31/2022,"$2,240.67",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/14/2022,"$2,497.56",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/14/2022,$56.44,Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/6/2022,"$2,314.82",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/9/2022,"$46,880.67",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/13/2022,"$50,000.00",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/25/2022,"$6,047.24",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,$10.00,Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$9,801.07",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/10/2022,"$1,000,000.00",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/7/2022,"$1,893.52",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/25/2022,$700.00,Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$16,538.31",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/13/2022,"$3,385.75",Address on File,100
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$143,018.74",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/24/2022,"$3,343.60",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/24/2022,"$1,283.11",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/1/2022,"$8,668.77",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$2,021.69",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$4,007.09",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/6/2022,"$22,548.69",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/6/2022,$248.17,Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/16/2022,"$28,702.83",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/16/2022,$324.13,Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/6/2022,"$17,500.00",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,8/31/2022,"$113,382.95",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/15/2022,"$13,381.19",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$4,213.64",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/13/2022,"$1,099.04",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/7/2022,$898.49,Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/10/2022,"$71,949.05",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/20/2022,"$16,390.49",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$4,457.82",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/22/2022,"$10,000.00",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/3/2022,"$7,086.74",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/7/2022,"$4,375.70",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,"$7,225.22",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,"$3,565.39",Address on File,100
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/28/2022,"$31,278.16",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,11/10/2022,"$10,000.00",Address on File,100
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/12/2022,"$201,500.00",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,"$14,460.61",Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$45,164.89",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/27/2022,"$1,630.81",Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/28/2022,"$2,000.00",Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/8/2022,"$7,645.42",Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$219.94,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$0.10,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$4.64,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$107.20,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$16.97,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$3.55,Address on File,101
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/10/2022,$27.34,Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/26/2022,"$6,523.14",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/27/2022,"$15,720.11",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/22/2022,"$2,917.13",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/13/2022,$564.55,Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/13/2022,"$1,130.89",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,$168.60,Address on File,101
Silicon Valley Bank,Bank Fees,9/26/2022,"$1,970.00",3003 Tasman Dr. Santa Clara CA 95054,101
Silicon Valley Bank,Bank Fees,10/26/2022,$994.00,3003 Tasman Dr. Santa Clara CA 95054,101
Silicon Valley Bank,Bank Fees,11/28/2022,"$1,259.00",3003 Tasman Dr. Santa Clara CA 95054,101
Silvergate Bank,Bank Fees,9/2/2022,$10.00,4275 Executive Square Suite 800 La Jolla CA 92037,101
Silvergate Bank,Bank Fees,9/21/2022,$10.00,4275 Executive Square Suite 800 La Jolla CA 92037,101
Silvergate Bank,Bank Fees,10/17/2022,$10.00,4275 Executive Square Suite 800 La Jolla CA 92037,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/18/2022,"$36,062.73",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/20/2022,"$4,814.51",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/20/2022,"$2,453.56",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,"$14,049.77",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,"$14,514.53",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/28/2022,"$13,289.17",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/31/2022,"$1,225.37",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,8/30/2022,"$1,345.92",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/14/2022,"$2,062.04",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/14/2022,"$6,887.05",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/21/2022,"$1,573.78",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/21/2022,"$1,682.63",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/21/2022,"$1,740.77",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/21/2022,"$14,299.59",Address on File,101
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/21/2022,"$1,631.28",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/21/2022,"$12,249.86",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/3/2022,"$1,511,671.16",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/1/2022,"$675,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/3/2022,"$175,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$825,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,"$29,657.53",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/7/2022,"$30,954.03",Address on File,102
State of Maryland,Regulatory Settlement,10/13/2022,"$377,358.48",200 Saint Paul Place Baltimore MD 21202,102
State of North Carolina,Regulatory Settlement,9/20/2022,"$377,358.48",2 South Salisbury St Raleigh NC 27601,102
State of Virginia,Regulatory Settlement,9/7/2022,"$377,358.48",1300 E. Main Street Richmond VA 23219,102
State of Wyoming,Tax Payments,9/2/2022,$630.11,122 West 25th Street Suite 100 Cheyenne WY 82002,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/7/2022,"$3,274.19",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/10/2022,"$190,345.85",Address on File,102
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/27/2022,"$30,415.98",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,"$13,413.51",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/12/2022,"$8,595.87",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/31/2022,$975.31,Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/4/2022,"$1,704.62",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/12/2022,"$23,175.01",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/7/2022,$181.81,Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/11/2022,$162.06,Address on File,102
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/20/2022,"$12,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/5/2022,"$25,798.81",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/4/2022,"$29,549.85",Address on File,102
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,11/8/2022,"$4,988.60",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,"$89,924.17",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/2/2022,"$10,239.41",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/19/2022,"$6,117.39",Address on File,102
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/27/2022,"$10,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/31/2022,"$2,373.21",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/24/2022,"$3,000,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$3,000,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$60,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$2,000,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$60,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$2,000,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$40,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/10/2022,"$1,000,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,8/30/2022,"$32,277.78",Address on File,102
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/20/2022,"$10,000.00",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/4/2022,"$89,124.19",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/4/2022,"$5,729.32",Address on File,102
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/6/2022,"$4,601.09",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/13/2022,"$1,425.17",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/29/2022,$139.18,Address on File,103
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,$66.36,Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/8/2022,"$51,227.03",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/12/2022,"$12,802.81",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/14/2022,"$13,937.42",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$9,393.05",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/26/2022,"$16,545.54",Address on File,103
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/21/2022,"$10,000.00",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/7/2022,"$13,032.23",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/3/2022,"$29,367.76",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/24/2022,"$3,813.66",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/8/2022,$888.75,Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/12/2022,"$1,266.52",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/26/2022,"$10,858.22",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/20/2022,"$39,543.37",Address on File,103
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/19/2022,"$25,000.00",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,"$73,414.54",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/26/2022,$317.54,Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/11/2022,$235.39,Address on File,103
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,11/2/2022,"$10,000.00",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/3/2022,"$7,013.92",Address on File,103
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/1/2022,"$11,506.93",Address on File,103
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/1/2022,$91.39,Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/7/2022,"$2,691.47",Address on File,103
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/10/2022,"$64,037.51",Address on File,103
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/10/2022,"$2,219.20",Address on File,103
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/10/2022,"$297,198.22",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/7/2022,"$1,710.55",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/18/2022,$486.19,Address on File,103
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/19/2022,"$3,627.28",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,"$22,040.57",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/10/2022,"$6,326.33",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/21/2022,"$12,377.76",Address on File,103
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/27/2022,"$8,842.95",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/10/2022,"$80,927.38",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/1/2022,"$34,195.29",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,"$27,362.48",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/28/2022,"$2,329.75",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/28/2022,"$37,598.62",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/10/2022,"$196,436.88",Address on File,103
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/13/2022,"$13,714.59",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/14/2022,"$28,169.78",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,$764.61,Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/23/2022,$656.69,Address on File,104
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,10/4/2022,"$28,000.00",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/6/2022,"$38,382.81",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/7/2022,"$5,000.00",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/9/2022,"$4,278.06",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/22/2022,"$7,500.00",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/5/2022,"$18,950.00",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/22/2022,"$5,000.00",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/23/2022,"$5,000.00",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/27/2022,"$1,400.00",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/7/2022,"$19,681.19",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/7/2022,"$19,687.92",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/7/2022,"$10,810.89",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/25/2022,"$12,374.48",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/4/2022,"$204,716.39",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/7/2022,"$104,716.39",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/2/2022,"$22,460.29",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/10/2022,"$21,257.17",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/15/2022,"$19,933.75",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/28/2022,"$1,051.08",Address on File,104
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/7/2022,"$12,000.00",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/7/2022,"$26,902.46",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/22/2022,"$16,749.89",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/12/2022,"$29,171.34",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/23/2022,"$8,192.46",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/1/2022,"$34,357.36",Address on File,104
Name on File,BlockFi platform activity ‐ crypto‐backed loan principal proceeds,9/13/2022,"$25,001.00",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/26/2022,"$1,554.85",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,9/3/2022,"$20,000.00",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/7/2022,$488.83,Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/6/2022,$651.89,Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/11/2022,"$2,558.88",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,$677.18,Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,"$1,440.26",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/9/2022,$740.21,Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/20/2022,"$104,230.61",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,8/30/2022,"$230,037.76",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,10/3/2022,"$8,000.00",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/2/2022,"$8,000.00",Address on File,104
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$992,000.00",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/22/2022,$626.85,Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/22/2022,"$1,872.64",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/14/2022,"$6,502.52",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/7/2022,"$11,344.41",Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,8/30/2022,$557.03,Address on File,104
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/9/2022,$812.36,Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/9/2022,$457.29,Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/9/2022,"$1,116.67",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/20/2022,"$14,087.80",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/3/2022,"$25,768.02",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/27/2022,"$16,446.96",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/4/2022,"$30,143.72",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/28/2022,"$11,906.57",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/7/2022,"$1,702.40",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/7/2022,"$33,929.84",Address on File,105
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/8/2022,"$32,221.58",Address on File,105
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$20,726.43",Address on File,105
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$1,834.82",Address on File,105
Name on File,BlockFi platform activity ‐ internal move from BIA to Wallet,11/9/2022,"$30,927.65",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/27/2022,$352.37,Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/11/2022,"$54,288.25",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/1/2022,$769.95,Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/10/2022,"$15,683.75",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/6/2022,"$59,109.03",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,9/22/2022,"$1,758.01",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/12/2022,"$30,143.72",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,10/13/2022,"$9,574.86",Address on File,105
Name on File,BlockFi platform activity ‐ release collateral to Wallet from crypto‐backed loan,11/8/2022,"$6,664.42",Address on File,105
