Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$16.92,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$243.58,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$122.41,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$6,816.43",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$174.78,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$1.92,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.45,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$1,333.24",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$958.90,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$32.73,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$137.73,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$109.77,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.56,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$262.35,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.89,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$1,051.79",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$155.56,4
Name on File,Address on File,on File,2/4/2021,Retail Crypto‐Backed Loan,,,,Y,"$24,399.83",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$596.60,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$33.64,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$2,119.04",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$65.52,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$105.09,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$480.03,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$3,031.44",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$94.15,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$4.63,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$93.01,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$2.12,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$352.33,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$1,230.68",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$1.55,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$19.81,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$337.64,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$25,318.22",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$5.21,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$514.44,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$1,358.91",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$119.48,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$3,987.56",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$155.60,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.82,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$208.44,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$20.63,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$57.03,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$279.38,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$0.74,4
Name on File,Address on File,on File,12/1/2020,Retail Crypto‐Backed Loan,,,,Y,"$24,633.58",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$1,664.88",4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$56.49,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$13.43,4
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$2.74,4
